Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Résumé
Jodhaa Akbar,Jodhaa Akbar,2008,Picture 21827,P,P,"Au XVIème siècle, l'Inde est dominée par la dynastie des empereurs musulmans moghols. Le dernier héritier, Jalaluddin Muhammad, un farouche guerrier, multiplie les batailles pour agrandir le territoire de l'empire. Afin d'unifier tout l'Hindoustan, il consent à épouser Jodhaa, une princesse Rajpoute hindoue. Mais une fois mariés, celle-ci demeure distante avec Jalaluddin, refusant d'être la victime d'une alliance politique... "
Joe,Joe,2013,Picture 24378,S,S,"Dans une petite ville du Texas, l’ex-taulard Joe Ransom essaie d’oublier son passé en ayant la vie de monsieur tout-le-monde : le jour, il travaille pour une société d’abattage de bois. La nuit, il boit. Mais le jour où Gary, un gamin de 15 ans arrive en ville, cherchant désespérément un travail pour faire vivre sa famille, Joe voit là l’occasion d’expier ses péchés et de devenir, pour une fois dans sa vie, important pour quelqu’un. Cherchant la rédemption, il va prendre Gary sous son aile…"
Joe Biden - Un Destin Américain,Joe Biden - Un Destin Américain,2020,Picture 4682,D,,"Le démocrate Joe Biden, officiellement investi à la présidence des Etats-Unis le 20 janvier 2021, devra affronter dès les premiers mois de son mandat des défis de taille. Aux crises sanitaire et économique s'ajoutent les graves conflits politiques et sociaux qui gangrènent une Amérique plus divisée que jamais. Qui est cet homme d'Etat à la longue et brillante carrière politique, six fois sénateur et deux fois vice-président sous Barack Obama ? Ce portrait revient sur son parcours ponctué de drames personnels et de succès publics, mais aussi sur les positionnements de cet expert en politique étrangère – qui pourraient bien se voir infléchis par l'influence de sa colistière Kamala Harris, première femme à accéder à la vice-présidence"
Joe Lacrasse,Joe Dirt,2001,Picture 25238,V,V,"Joe La Crasse est un concierge travaillant dans une station de radio. Il rêve de retrouver ses parents qu'il a perdu au Grand Canyon quand il avait huit ans. Lorsqu'il se fait brusquer par deux hommes durant son travail, un des hommes qui travaille avec Zander Kelly le remarque et lui propose de venir rencontrer celui-ci. Il raconte toute son histoire aux oreilles des habitants de Los Angeles et devient rapidement célèbre. Il devient facile pour lui de retrouver ses parents. Il reçoit l'aide de nombreuses personnes mais se rend vite compte que sa place est ailleurs."
Joe Lacrasse 2,Joe Dirt 2 - Beautiful Loser,2015,Picture 25240,V,V,"Quand l’heureux homme de famille Joe Dirt se retrouve transporté dans le passé, il entame un voyage épique pour retrouver ses proches dans le présent."
Joe Kidd,Joe Kidd,1972,Picture 21828,O,O,"Au début du XXème siècle au Nouveau-Mexique, les Mexicains tentent en vain de conserver leurs terres que les colons américains s'approprient sans vergogne. Ils se rebellent et sont menés par Luis Chama. Un riche propriétaire souhaite alors engager Joe Kidd pour décimer la bande de Chama... "
Joe Contre le Volcan,Joe Versus the Volcano,1990,Picture 1309,Y,Y,"Quand un jeune homme hypocondriaque apprend qu'il va mourrir, il accepte l'offre que lui propose un milliardaire excentrique de se jeter dans la gueule d'un volcan ... "
John Adams,John Adams,2008,Picture 24681,T,T,"La vie familiale et la carrière politique de John Adams, à partir de son implication juridique lors du procès qui suit le Massacre de Boston, en passant par sa participation à l'Indépendance des États-Unis, notamment par la rédaction de la Déclaration d'indépendance des États-Unis, jusqu'à ses actions en tant qu'ambassadeur américain en Europe, puis sa nomination comme vice-président et, enfin, président des États-Unis."
John et Mary,John and Mary,1969,Picture 25712,W,W,"Dans un appartement moderne de Riverside Drive, à New York. Mary se réveille dans le lit de John, un garçon qu'elle a rencontré la veille dans un bar. Alors qu'il est encore endormi, Mary fouille dans la maison pour en savoir plus sur son mode de vie. John est un jeune homme très méticuleux, alors que Mary est plutôt brouillonne. Elle a un amant occasionnel tandis que lui a mal vécu la séparation d'avec Ruth, un top model. Les deux jeunes gens se plaisent, mais chacun d'eux craint d'être prisonnier d'une nouvelle liaison. Mary quitte la maison et John est désemparé. Il part à sa recherche. En vain, car il ne sait rien d'elle... "
John Carter,John Carter,2012,Picture 21829,J,J,"Le cinéaste oscarisé Andrew Stanton signe avec JOHN CARTER un grand film d’aventures qui se déroule sur la planète Barsoom (Mars), peuplée de tribus guerrières et d’extraordinaires créatures. Tiré du premier livre du « Cycle de Mars » d’Edgar Rice Burroughs, le film raconte le fascinant voyage de John Carter, qui se retrouve inexplicablement transporté sur Barsoom, au cœur d’une guerre mystérieuse entre les habitants de la planète. Parmi tous les êtres étranges qui peuplent cet univers, il fera la connaissance de Tars Tarkas et de la captivante princesse Dejah Thoris. Dans ce monde sur le point de disparaître, Carter va découvrir que la survie de Barsoom et de son peuple est entre ses mains… "
John Ford - L'Homme qui Inventa l'Amérique,John Ford - L'Homme qui Inventa l'Amérique,2019,Picture 4687,D,,"À la fois conteur et bâtisseur de la légende américaine, John Ford fut bien plus qu'un grand faiseur de westerns. Le réalisateur Jean-Christophe Klotz évoque avec finesse les multiples facettes d'un cinéaste qui refusa aussi obstinément les questions des intervieweurs que l'embrigadement idéologique. Au travers notamment de somptueuses archives, d'interviews de proches et de spécialistes de l'oeuvre, ce documentaire fait 'parler' les extraits des films les plus emblématiques de John Ford."
John Q,John Q,2002,Picture 25589,W,W,"John Q. Archibald mène une vie paisible entouré de Denise, sa femme, et de Michael, son fils de neuf ans. Un jour, au cours d'une partie de base-ball à laquelle son père participe activement, Michael s'effondre suite à un malaise cardiaque. Il est transféré d'urgence à l'hôpital où on lui diagnostique une malformation congénitale. Si on ne lui donne pas rapidement un nouveau coeur, il décédera. En devenant ouvrier à temps partiel, John a perdu une partie de sa couverture médicale. Résultat : l'assurance ne couvrira pas les frais de la transplantation cardiaque. La directrice de l'hôpital, Rebecca Payne, consciente des difficultés financières que rencontre cette famille, ne peut leur offrir gratuitement une telle opération. Désespéré, John Q. entre armé dans l'établissement et prend en otage le personnel des urgences, et ce jusqu'à ce que les médecins décident d'opérer son enfant. "
John Wick,John Wick,2014,Picture 23967,R,R,"Depuis la mort de sa femme bien-aimée, John Wick passe ses journées à retaper sa Ford Mustang de 1969, avec pour seule compagnie sa chienne Daisy. Il mène une vie sans histoire, jusqu’à ce qu’un malfrat sadique nommé Iosef Tarasof remarque sa voiture. John refuse de la lui vendre. Iosef n’acceptant pas qu’on lui résiste, s’introduit chez John avec deux complices pour voler la Mustang, et tuer sauvagement Daisy…
John remonte la piste de Iosef jusqu’à New York. Un ancien contact, Aurelio, lui apprend que le malfrat est le fils unique d’un grand patron de la pègre, Viggo Tarasof. La rumeur se répand rapidement dans le milieu : le légendaire tueur cherche Iosef. Viggo met à prix la tête de John : quiconque l’abattra touchera une énorme récompense. John a désormais tous les assassins de New York aux trousses."
John Wick - Chapitre 2,John Wick - Chapter 2,2017,Picture 2094,Z,Z,"John Wick est forcé de sortir de sa retraite volontaire par un de ses ex-associés qui cherche à prendre le contrôle d’une mystérieuse confrérie de tueurs internationaux. Parce qu’il est lié à cet homme par un serment, John se rend à Rome, où il va devoir affronter certains des tueurs les plus dangereux du monde. "
John Wick - Chapitre 3 - Parabellum,John Wick - Chapter 3 - Parabellum,2019,Picture 3300,B,B,"John Wick a transgressé une règle fondamentale : il a tué à l’intérieur même de l’Hôtel Continental. ""Excommunié"", tous les services liés au Continental lui sont fermés et sa tête mise à prix. John se retrouve sans soutien, traqué par tous les plus dangereux tueurs du monde. "
Johnny English,Johnny English,2003,Picture 21830,N,N,"Dans un monde angoissé, déboussolé, peu d'institutions sont aussi fiables que les services secrets britanniques. Leurs supers agents, leurs réseaux internationaux, leur matériel et leur panoplie high-tech en font l'ultime bastion de l'Honneur, du Devoir et de la Vérité.
 Informés d'un odieux complot contre les Joyaux de la Couronne, les services secrets mettent sur le coup la crème de la crème des espions de Sa Majesté - leur agent n°1. Mais ce dernier se fait tuer et est promptement rejoint dans l'autre monde par l'élite du Renseignement...
La sécurité du pays, l'espoir de venger le contre-espionnage, la protection des Joyaux de la Couronne, symbole immémorial de la grandeur de l'Empire, reposent désormais sur les épaules d'un seul homme : Johnny English. Il ne craint rien et ne comprend rien. Ce n'est pas le meilleur des agents... C'est le seul. "
Johnny English Renaît,Johnny English Reborn,2011,Picture 21831,M,M,"Ayant pris quelques années pour vivre retiré dans une région reculée d’Asie, Johnny English, le meilleur agent du MI7, en a profité pour perfectionner ses compétences uniques. Lorsque ses supérieurs apprennent que la vie du Premier ministre chinois est menacée, ils décident de le rappeler pour déjouer le complot. Si le monde a besoin de lui, Johnny English est prêt à reprendre du service… plus déjanté et déchaîné que jamais. À seulement quelques jours de la conférence internationale, English va devoir faire appel aux derniers gadgets hightech et à ses méthodes singulières pour enrayer l’infernale machination impliquant les Russes, la CIA et même le MI7… Enchaînant bourdes et catastrophes, Johnny English va tout tenter et même plus pour sauver le monde… "
Johnny English Frappe à Nouveau,Johnny English Strikes Again,2018,Picture 2788,B,B,"Cette nouvelle aventure démarre lorsqu’une cyber-attaque révèle l’identité de tous les agents britanniques sous couverture. Johnny English devient alors le dernier espoir des services secrets. Rappelé de sa retraite, il plonge tête la première dans sa mission : découvrir qui est le génie du piratage qui se cache derrière ces attaques. Avec ses méthodes obsolètes Johnny English doit relever les défis de la technologie moderne pour assurer la réussite de sa mission. "
Johnny s'en va-t-en Guerre,Johnny Got His Gun,1971,Picture 23855,R,R,"Joe Bonham est un jeune Américain plein d'enthousiasme qui décide de s'engager pour aller combattre sur le front pendant la Première Guerre mondiale. Au cours d'une mission de reconnaissance, il est gravement blessé par un obus et perd la parole, la vue, l'ouïe et l'odorat. On lui ampute ensuite les quatre membres alors qu'on croit qu'il n'est plus conscient. Allongé sur son lit d'hôpital, il se remémore son passé et essaie de deviner le monde qui l'entoure à l'aide de la seule possibilité qui lui reste : la sensibilité de sa peau. Une infirmière particulièrement dévouée l'aide à retrouver un lien avec le monde extérieur. Lorsque le personnel médical comprend que son âme et son être sont intacts sous ce corps en apparence décédé, ils doivent prendre une décision médicale selon les valeurs et les croyances de l'époque."
Johnny Belle Gueule,Johnny Handsome,1989,Picture 24996,U,U,"Un criminel de carrière, défiguré depuis la naissance, se voit offrir une nouvelle chance. Un chirurgien lui redonne figure humaine. En liberté conditionnelle, Johnny mène une vie rangée. Mais dans l'ombre, il prépare sa vengeance contre la personne qui l'a envoyé en prison..."
Johnny Mnémonique,Johnny Mnemonic,1995,Picture 21832,N,N,"Au XXIe siècle, le piratage des réseaux faisant rage, un puissant consortium utilise des livreurs de données. Johnny est l'un de ces coursiers. Son cerveau a été aménagé pour recevoir des données qu'il ignore et qu'il convoie ensuite à travers le monde. "
Joint Security Area,Joint Security Area,2000,Picture 2420,A,,"A la suite d'une fusillade dans la Zone Commune de Sécurité (Joint Security Area) séparant les deux Corée : deux soldats de l’armée nord-coréenne sont retrouvés morts. Cette affaire donne lieu a un incident diplomatique majeur entre les deux pays. Afin que la situation ne dégénère pas, une jeune enquêtrice suisse est chargée de mener les auditions des soldats qui étaient en poste... Elle se rend très vite compte que les divers témoignages rendent l’enquête complètement indémêlable… Que s’est-il vraiment passé, ce soir-là, entre les soldats des deux Corée, dans la Zone Commune de Sécurité "
Jojo Rabbit,Jojo Rabbit,2019,Picture 3674,C,C,"Jojo est un petit allemand solitaire. Sa vision du monde est mise à l’épreuve quand il découvre que sa mère cache une jeune fille juive dans leur grenier. Avec la seule aide de son ami aussi grotesque qu'imaginaire, Adolf Hitler, Jojo va devoir faire face à son nationalisme aveugle. "
Joker,Joker,2019,Picture 3597,C,C,"Le film, qui relate une histoire originale inédite sur grand écran, se focalise sur la figure emblématique de l’ennemi juré de Batman. Il brosse le portrait d’Arthur Fleck, un homme sans concession méprisé par la société.  "
Jonan Hex,Jonan Hex,2010,Picture 21833,J,J,L'armée américaine propose au chasseur de primes Jonah Hex de le libérer s'il parvient à arrêter un terroriste prêt à déchaîner les enfers sur la planète... 
Les Enquêtes du Département V 4 - Dossier 64,Journal 64,2018,Picture 2945,B,,"Alors que le Département V est sous tension avant le départ annoncé d'Assad, partenaire de l'inspecteur Carl Mørck, ces derniers se lancent dans une nouvelle enquête qui pourrait bien être leur dernière. 
Suite à la découverte de trois squelettes cachés derrière la tapisserie d'un vieil appartement, les deux enquêteurs et leur assistante Rose doivent exhumer une macabre affaire datant des années 1950 : sur la petite île de Sprogø, des femmes étaient internées et stérilisées de force sous la direction du docteur Curt Wad... "
Le 2e Voyage - L'Île Mystérieuse,Journey 2 - The Mysterious Island,2012,Picture 23592,Q,Q,"Sean Anderson, 17 ans, reçoit un message de détresse codé en provenance d'une île mystérieuse dont personne n'a jamais entendu parler… Tout aussi impatient que Sean de savoir d'où vient ce message, Hank, son beau-père, décide de tenter l'aventure ! Ils mettent alors le cap sur le Pacifique Sud, puis sur une destination quasi inconnue, dont personne, ou presque, n'est revenu en vie… C'est une contrée d'une beauté stupéfiante, où vivent d'étranges et effrayantes créatures entre des volcans et des montagnes d'or. Une île qui n'a pas fini de dévoiler tous ses secrets. Accompagnés de Gabato, seul pilote d'hélicoptère prêt à s'embarquer dans l'aventure, et de sa fille Kailani, aussi ravissante qu'intrépide, ils partent à la recherche de cette terre lointaine : ils devront sauver le seul être humain qui y habite et fuir avant qu'un terrible volcan ne submerge l'île et n'enfouisse ses trésors à tout jamais… "
Journey to Space,Journey to Space,2015,Picture 1141,Y,,"Au cours du demi-siècle passé, les humains ont traversé l’atmosphère, marché sur la Lune, et séjourné en continu en orbite terrestre. Ces exploits permettent d’envisager un nouveau défi, plus beau encore : atteindre la surface d’un autre monde. Attachez vos ceintures pour le prochain saut géant dans l’espace... Prochain arrêt : Mars !"
Voyage au Centre de la Terre,Journey to the Center of the Earth,1959,Picture 21834,K,K,"Le professeur Oliver Lindenbrook, convaincu que l'explorateur Arne Saknussem, porté disparu, est parvenu au centre de la Terre, quitte Edimbourg avec ses camarades Alec McEwen, Jenny, Carla Goetaborg et Hans Belker. Ensemble, ils entreprennent un extraordinaire périple dans les profondeurs de la Terre. Ils sont poursuivis par le Comte Saknussen, héritier de l'explorateur disparu qui souhaite bénéficier des retombées de la découverte de son ancêtre. "
Voyage au Centre de la Terre,Journey to the Center of the Earth,2008,Picture 21835,J,J,"Personne ne croit plus le professeur Trevor Anderson lorsqu'il affirme être sur le point de faire une extraordinaire découverte. Ses hypothèses révolutionnaires l'ont mis au ban de la communauté scientifique. Pourtant, au cours d'une expédition en Islande, Trevor et son neveu, le jeune Sean, sous la conduite de leur guide islandaise Hannah, vont se retrouver plongés dans l'inconnu.
Dans leur périple vers les profondeurs de la Terre, ils rencontreront des mondes inexplorés, des merveilles extraordinaires, des dangers mortels et des créatures fabuleuses... Une seule chose est certaine : à 3000 km sous la surface, tout peut arriver. "
Voyage aux Confins de l'Univers,Journey to the Edge of the Universe,2008,Picture 4378,D,,"Très didactique, très simple, voir un peu simplifié aux yeux d’un astronome amateur, ce documentaire, essentiellement en images de synthèse, propose de nous faire découvrir les distances faramineuses entre le système solaire et le centre de notre galaxie, de connaître les forces prodigieuses en activité dans les trous noirs, ou les nombreuses zones hostiles à l’apparition de la vie."
Au-Delà du Soleil,Journey to the Far Side of the Sun,1969,Picture 2835,B,B,"Une sonde spatiale découvre une planète inconnue située de l'autre côté du Soleil.
Une mission habitée est envoyée sur cette planète, mais les choses ne se déroulent pas comme prévu…"
Joy,Joy,2015,Picture 25697,W,W,"Inspiré d'une histoire vraie, JOY décrit le fascinant et émouvant parcours, sur 40 ans, d'une femme farouchement déterminée à réussir, en dépit de son excentrique et dysfonctionnelle famille, et à fonder un empire d’un milliard de dollars. Au-delà de la femme d’exception, Joy incarne le rêve américain dans cette comédie dramatique, mêlant portrait de famille, trahisons, déraison et sentiments. "
Une Virée en Enfer,Joy Ride,2001,Picture 21837,O,O,"Pour Lewis Thomas, un étudiant du New Jersey, les vacances d'été s'annoncent exceptionnelles. Venna, la fille qu'il tente de séduire, l'invite à venir la chercher dans le Colorado. Mais avant de s'y rendre, il fait un détour par la prison où Fuller, son frère, vient juste de sortir. Sur le chemin, celui-ci provoque avec la vieille radio CB un routier, dont ils ne connaissent que le pseudonyme, ""Clou rouillé"", en feignant un rendez-vous érotique avec une nymphomane. Les deux frères passent la nuit dans un motel au bord de l'autoroute et Lewis invite leur contact radio à venir le rejoindre. Ce dernier prend toutefois le soin de donner le numéro de la chambre voisine. ""Clou rouillé"" est moins drôle qu'ils le pensaient, car, durant la nuit, il descend leur voisin. C'est maintenant au tour de ce mystérieux criminel de s'amuser un peu. "
Une Virée en Enfer 2 - Cap sur la Mort,Joy Ride 2 - Dead Ahead,2008,Picture 21838,K,K,"Deux couples d'amis partent pour une virée festive à Las Vegas. Lorsqu'une panne mécanique les laisse au milieu de nulle part, ils finissent par voler une vieille voiture dans un ranch. Ils éveillent alors la curiosité de Rusty, un routier psychopathe doté d'un appétit insatiable pour la torture et la mutilation. Il sera prêt à tout pour qu'ils paient leur dette. Un membre à la fois... "
Juanita,Juanita,2019,Picture 2949,B,B,"Accablée par les soucis quotidiens et les déceptions amoureuses, Juanita, une mère célibataire, part chercher des jours meilleurs à Paper Moon, dans le Montana. "
Judas and the Black Messiah,Judas and the Black Messiah,2021,Picture 4886,D,D,"Focus sur l'ascension de Fred Hampton, militant politique afro-américain, membre du Black Panther Party dans l'Illinois, décédé en décembre 1969 à l'âge de vingt-et-un ans. "
Jude,Jude,1996,Picture 25454,W,,"Dans l'Angleterre de la fin du XIXe siècle, Jude Fawley, jeune homme intelligent et naïf, rêve d'entrer à l'université. "
Judex,Judex,1963,Picture 25449,W,,"Un banquier véreux reçoit un mystérieux message signé Judex lui enjoignant de distribuer ses biens aux pauvres. Favraux se garde bien d'obéir et commet un nouveau méfait. Mais le jour des fiançailles de sa fille, Jacqueline, à l'heure dite, le justicier Judex met à exécution ses menaces..."
Juge Dredd,Judge Dredd,1995,Picture 21839,K,K,"Nous somme en 2139, la planète a été ravagée par de terribles guerres atomiques. La vie subsiste dans des cités tentaculaires dont la capitale et Mega City One, megalopole construite sur plusieurs niveaux. Pour assurer l'ordre, des officiers froids et terriblement efficaces crées lors d'une expérience sur l'ADN. L'un d'entre eux, le juge Dredd a un double, Rico, clone né de la même chaine d'ADN."
Jugement à Nuremberg,Judgment at Nuremberg,1961,Picture 21840,O,O,"En 1948, le juge Haywood est envoyé à Nuremberg pour présider le procès de quatre magistrats allemands accusés de trop de complaisance à l'égard du régime Nazi. L'un d'eux, Janning, se renferme dans un silence méprisant et, en écartant les témoignages et les films sur les camps de concentration, dit qu'il n'a fait qu'appliquer la loi en vigueur... "
Catastrophe Imminente,Judgment Day,1999,Picture 1926,A,,"Un gigantesque astéroïde fonce vers la Terre. Avec l'aide de son laser spatial, le docteur David Corbett semble le seul à pouvoir empêcher la collision. Mais un leader fanatique qui souhaite la fin du monde kidnappe le docteur. L'agent du F.B.I. Janine Tyrell n'a que quelques heures pour retrouver le scientifique et sauver l'humanité..."
La Nuit du Jugement,Judgment Night,1993,Picture 1275,Y,Y,"Quatre copains, voulant se rendre à un match de boxe, se retrouvent coincés dans des embouteillages sur l'autoroute. Pour arriver plus vite, ils prennent la première sortie et tentent de trouver un autre chemin pour arriver à temps au match. Mais ils trouvent coincés et sont témoins d'un meurtre affreux et brutal. Le tueur ne veut laisser aucune trace et décide donc de les tuer également ... "
Judy,Judy,2019,Picture 3628,C,C,"Hiver 1968. La légendaire Judy Garland débarque à Londres pour se produire à guichets fermés au Talk of the Town. Cela fait trente ans déjà qu’elle est devenue une star planétaire grâce au Magicien d’Oz. Judy a débuté son travail d’artiste à l’âge de deux ans, cela fait maintenant plus de quatre décennies qu’elle chante pour gagner sa vie. Elle est épuisée. Alors qu’elle se prépare pour le spectacle, qu’elle se bat avec son agent, charme les musiciens et évoque ses souvenirs entre amis ; sa vivacité et sa générosité séduisent son entourage. Hantée par une enfance sacrifiée pour Hollywood, elle aspire à rentrer chez elle et à consacrer du temps à ses enfants. Aura-t-elle seulement la force d’aller de l’avant ? "
Julia,Julia,1977,Picture 25633,W,W,"Dans les annees trente, Lillian Hellman, la compagne de Dashiell Hammett, avait pour amie Julia, resistante antifasciste a Vienne qui disparait mysterieusement en 1934. Trois ans plus tard, Lilian de passage a Paris reussit a retrouver la trace de son amie. "
Les Yeux de Julia,Julia's Eyes,2010,Picture 24752,U,,"Lorsque Sarah est décédée, tout parait indiquer qu'elle s'est suicidée. Mais sa sœur Julia refuse d'y croire et décide d'enquêter sur les circonstances réelles du décès. Au gré de ses découvertes, Julia devient peu à peu la cible d'une menace qu'elle semble être la seule à percevoir, alors que sa vue baisse progressivement."
Julie et Julia,Julie & Julia,2009,Picture 23682,Y,Y,"Julia Child est la femme qui a changé pour toujours la façon de cuisiner de l'Amérique. Mais en 1948, elle n'est encore qu'une Américaine anonyme vivant en France. Le travail de son mari les a amenés à s'installer à Paris, et Julia cherche activement une occupation. C'est alors qu'elle se prend de passion pour la cuisine française...
Cinquante ans plus tard, Julie Powell a l'impression d'être dans une impasse. Elle va avoir 30 ans, et pendant que ses amies connaissent bonheur et succès, elle végète dans son travail. Julie se lance alors un défi complètement fou : elle se donne exactement un an, 365 jours pour cuisiner les 524 recettes du livre de Julia Child - Mastering the Art of French Cooking, et elle crée un blog pour relater son expérience... "
"Juliet, Naked","Juliet, Naked",2018,Picture 3670,C,C,"Adaptation du roman homonyme de Nick Hornby sur une femme, son compagnon fan de musique et la star qui obsède ce dernier. "
Julieta,Julieta,2016,Picture 1022,Y,,"Julieta s’apprête à quitter Madrid définitivement lorsqu’une rencontre fortuite avec Bea, l’amie d’enfance de sa fille Antía la pousse à changer ses projets. Bea lui apprend qu’elle a croisé Antía une semaine plus tôt. Julieta se met alors à nourrir l’espoir de retrouvailles avec sa fille qu’elle n’a pas vu depuis des années. Elle décide de lui écrire tout ce qu’elle a gardé secret depuis toujours.
Julieta parle du destin, de la culpabilité, de la lutte d’une mère pour survivre à l’incertitude, et de ce mystère insondable qui nous pousse à abandonner les êtres que nous aimons en les effaçant de notre vie comme s’ils n’avaient jamais existé. "
Jules César,Julius Caesar,1953,Picture 24749,U,U,La guerre fratricide qui s'engagea après l'assassinat de César entre les partisans de Marc-Antoine et de Brutus. 
Jules César,Julius Caesar,1970,Picture 3107,B,B,"Jules César, empereur romain, a bien du mal à gouverner avec le sénat. son propre fils complote contre lui. Assassiné, Marc Antoine prononce un discours qui monte la foule contre les agresseurs."
Jumanji,Jumanji,1995,Picture 21841,O,O,"Lors d'une partie de Jumanji, un jeu très ancien, le jeune Alan est propulsé sous les yeux de son amie d'enfance, Sarah, dans un étrange pays. Il ne pourra s'en échapper que lorsqu'un autre joueur reprendra la partie et le libèrera sur un coup de dés. Vingt-six ans plus tard, il retrouve le monde réel par le coup de dés de deux autres jeunes joueurs. "
Jumanji - Bienvenue dans la Jungle,Jumanji - Welcome to the Jungle,2017,Picture 2165,A,A,"Le destin de quatre lycéens en retenue bascule lorsqu’ils sont aspirés dans le monde de Jumanji. Après avoir découvert une vieille console contenant un jeu vidéo dont ils n’avaient jamais entendu parler, les quatre jeunes se retrouvent mystérieusement propulsés au cœur de la jungle de Jumanji, dans le corps de leurs avatars. Ils vont rapidement découvrir que l’on ne joue pas à Jumanji, c’est le jeu qui joue avec vous… Pour revenir dans le monde réel, il va leur falloir affronter les pires dangers et triompher de l’ultime aventure. Sinon, ils resteront à jamais prisonniers de Jumanji… "
Jumanji 2 - Le Prochain Niveau,Jumanji 2 - The Next Level,2019,Picture 3710,C,C,"L'équipe est de retour mais le jeu a changé. Alors qu'ils retournent dans Jumanji pour secourir l'un des leurs, ils découvrent un monde totalement inattendu. Des déserts arides aux montagnes enneigées, les joueurs vont devoir braver des espaces inconnus et inexplorés, afin de sortir du jeu le plus dangereux du monde. "
Jumper,Jumper,2008,Picture 21842,K,K,"Depuis qu'il a découvert qu'il pouvait se téléporter n'importe où sur terre, le monde n'a plus de limite pour David Rice. grâce à son pouvoir, il peut déjeuner en Egypte sur la tête du Sphinx, passer la journée à faire du surf en Australie, dîner à Paris et prendre le dessert au Japon. Les murs ne l'arrêtent plus et aucun coffre de banque ne lui résiste. Libre comme personne, David vit dans l'insouciance la plus totale, jusqu'à ce que... "
Jumpin' Jack Flash,Jumpin' Jack Flash,1986,Picture 1948,A,A,"Terry Doolittle, une employée de banque distraite, passe ses journée à communiquer avec ses clients via son ordinateur. Un jour, elle reçoit un message de détresse lancé par un agent secret anglais en mission derrière le rideau de fer. Terry n'hésite pas à lui venir en aide sans savoir qu'elle devient ainsi la cible d'une vaste affaire d'espionnage. "
Lait et Charbon,Junges Licht,2016,Picture 4221,C,,"Dans la région de Dortmund, au début des années 1960. Julian, 12 ans, sage fils de mineur encore en culottes courtes, partage le quotidien modeste d’un milieu prolétaire bousculé par les premières mutations des Trente Glorieuses. Entre un père qui se tue à la tâche et une mère au foyer très peu aimante, souffrant de douleurs chroniques, il observe avec désillusion la violence et la lâcheté des adultes qui l’entourent. Alors que sa mère, aux prises avec une dépression nerveuse, emmène sa petite sœur séjourner au bord de la mer, Julian reste seul avec son père, Waller. Leur jeune voisine, Marusha, adolescente à la sexualité provocante, en profite pour multiplier les incursions chez eux. Quand Waller propose à Marusha de l’accompagner un dimanche chez son compagnon de beuverie, Lippek, la situation menace de déraper. Le jeune Julian devient alors le témoin impuissant d’événements qui bouleverseront sa vie et celle de sa famille..."
Jungle,Jungle,2017,Picture 1685,Z,Z,Un groupe d'amis baroudeurs fait un périple dans la jungle bolivienne dans le but de trouver une tribu isolée du monde.
Juno,Juno,2007,Picture 23697,Q,Q,"Juno McGuff, 16 ans, est une jeune fille qui n'a pas la langue dans sa poche mais qui, sous ses airs de dure, se cherche comme toutes les adolescentes de son âge. Alors que la plupart de ses copines de lycée passent leur temps sur Internet ou au centre commercial, Juno ne fait rien comme les autres. C'est ainsi qu'un jour où elle s'ennuie, elle couche avec Bleeker, garçon aussi charmant que peu prétentieux.
Mais quand elle tombe enceinte accidentellement, elle décide de trouver le couple de parents adoptifs idéal qui pourra s'occuper de son bébé. Avec l'aide de sa meilleure amie Leah, elle repère dans les petites annonces du journal local Mark et Vanessa Loring qui rêvent d'adopter leur premier enfant. Soutenue par sa famille, Juno fait la connaissance des Loring. Tandis que le terme de sa grossesse approche, Juno va devoir faire preuve de maturité et de courage... "
Ju-on - The Grudge,Ju-on - The Grudge,2002,Picture 3944,C,C,"Rika, une assistante sociale, se rend dans une maison, sur laquelle pèse une malédiction, pour s'occuper de Sashie, une vieille dame alitée. Elle y découvre un petit garçon enfermé dans un placard, avant d'être agressée par un esprit malfaisant.
Quelques jours auparavant, Hitomi, le fils de Sashie, s'était également fait attaquer par le spectre après avoir été témoin de l'apparition du même petit garçon. Lorsque la soeur d'Hitomi débarque à son tour, elle découvre une Rika en état de choc.
Intervient alors Toyama, un policer chargé d'enquêter quelques années plus tôt sur la tragédie qui a secoué cette demeure maudite : un homme y avait tué sa femme, et leur jeune fils n'a jamais été retrouvé... "
Ju-on - The Grudge 2,Ju-on - The Grudge 2,2003,Picture 3945,C,C,"Aubrey apprend que sa soeur Karen est hospitalisée au Japon où elle fait l'objet d'une enquête après la mort de son compagnon dans un incendie qu'elle a déclenché. peu de temps après son arrivée à Tokyo, la jeune fille est avertie que sa soeur est devenue l'esclave de quelque chose d'invisible et de dangereux. Elle ne le sait pas encore mais, avec Allison, une étudiante qui n'a pas froid aux yeux et Jake, un jeune garçon introverti, elle a rendez-vous avec une terrifiante malédiction que plus rien ne retient enfermée... "
