Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Act,Anim,Aven,Bio,Bonus,Com,Crime,Doc,Drame,Fant,Guer,Hist,Hor,Mus,Myst,Rom,Sc-Fi,Série,Spec,Sport,Thril,West,Note,Nombre de Voteurs,Durée,Producteur,En Vedette,Audio Français,Audio Anglais,Traité,Double,Dernier Épisode Visionné,3D,Année(s) saison,Dernière saison,Produit / Créé par,Adresse Résumé,Nouveau,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Source,Y,Film Étranger,Mini Série,Z,A,B,Catastrophe,Version Originale,C,Bestiole,Tous,Vue,Pas Vue,Adresse Séries,Coup de Coeur,Série En Cours,Série Complété,Espion,Antique,Politique,Procès,Super-Héros,Tueur en Série,Vampire,Zombie,Terroriste,Sorcellerie,Asiatique,Érotique,Nouveauté,D,Scientifique,Archéologie,Mon Vote,Commentaires Jules,Société,Religion,Format,Commentaires Gérald,QTP,E,Nouv Com Jules,Nouv Com Gérald,Extraterrestre,Sélection du Jour
Aigle Noir,Soar Into the Sun,2012,Picture 4001,C,C,X,,X,,,,,,X,,,,,,,,,,,,,,6.0,1516,113,Dong-won Kim ,"Rain, Joon-Sang Yoo, Seong-su Kim ",W:\Aigle Noir\Windfighters.mkv,W:\Aigle Noir\Windfighters.mkv,O,,,,,,,6299,,,,,,,,,,,,,,,,,Sel,,,,,,,,Coréen,X,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Soldiers of Fortune,Soldiers of Fortune,2012,Picture 25297,V,V,X,,X,,,,,,,,,,,,,,,,,,,,4.3,6094,94,Maxim Korostyshevsky ,"Christian Slater,  Sean Bean,  Ving Rhames",V:\Soldiers of Fortune\soldiers.of.fortune.mkv,V:\Soldiers of Fortune\soldiers.of.fortune.mkv,O,,,,,,,6309,,,,,,,,,,,,,,X,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider-Man 4 - L'Extraordinaire Spider-Man,Spider-Man 4 - The Amazing Spider-Man,2012,Picture 22433,L,L,X,,X,,,,,,,X,,,,,,,,,,,,,7.1,317 446,136,Marc Webb ,"Andrew Garfield, Emma Stone, Rhys Ifans ",L:\Spiderman 4 - L'Extraordinaire Spiderman\VIDEO_TS\VIDEO_TS.IFO,L:\Spiderman 4 - L'Extraordinaire Spiderman\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,6380,,,,X,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,X,,,,,,,,,,,,,,,,,"J'adore tous les Marvel, excellents acteurs, super effets spéciaux et de l'humour. À revoir c'est sûr.",,,,,,
Spring Breakers,Spring Breakers,2012,Picture 23573,Q,Q,X,,,,,,X,,X,,,,,,,,,,,,,,5.3,91780,94,Harmony Korine ,"Vanessa Hudgens, Selena Gomez, Ashley Benson ",Q:\Spring Breakers\Spring.Breakers.mkv,Q:\Spring Breakers\Spring.Breakers.mkv,O,,,,,,,6398,,,,,,,,,X,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Derniers Affranchis,Stand Up Guys,2012,Picture 21942,O,B,,,,,,X,X,,,,,,,,,,,,,,,,6.6,34859,95,Fisher Stevens,"Al Pacino, Christopher Walken, Alan Arkin",N:\Les Derniers Affranchis\Stand.Up.Guys.mkv,S:\Les Derniers Affranchis\Les Derniers Affranchis.mkv,O,double,,,,,,6416,,,,,,,X,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivre Pour Danser 4,Step Up 4 - Revolution,2012,Picture 23895,R,R,,,,,,,,,X,,,,,X,,X,,,,,,,6.5,38802,99,Scott Speer ,"Kathryn McCormick, Ryan Guzman, Cleopatra Coleman ",R:\Vivre Pour Danser 4\Step Up 4.mkv,R:\Vivre Pour Danser 4\Step Up 4.mkv,O,,,,,,,6484,,,,,,,,,,X,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourir de Rire,Stitches,2012,Picture 22479,M,M,,,,,,X,,,,,,,X,,,,,,,,,,5.7,4 152,86,Conor McMahon ,"Ross Noble, Tommy Knight, Eoghan McQuinn",M:\Mourir de Rire\VIDEO_TS\VIDEO_TS.IFO,M:\Mourir de Rire\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,6493,,,,,X,,,,,,,,,,,,L2,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,R,Film d'horreur assez gore pour ado. Très mauvais traducteur. À écouter seulement QTP. Pas plus que 5.0,,,,,X,,,,,
Kidnappée,Stolen,2012,Picture 22480,N,N,X,,,,,,X,,X,,,,,,,,,,,,,,5.5,29 022,96,Simon West ,"Nicolas Cage, Malin Akerman, Josh Lucas",N:\Kidnappée\VIDEO_TS\VIDEO_TS.IFO,N:\Kidnappée\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,6496,,,,,,X,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hangar 24,Storage 24,2012,Picture 691,N,N,,,,,,,,,,,,,X,,,,X,,,,X,,4.4,4 278,87,Johannes Roberts ,"Noel Clarke, Colin O'Donoghue, Antonia Campbell-Hughes ",N:\Hangar 24\Storage.24.avi,N:\Storage 24\Storage 24.mp4,O,double,,,,,,6506,,,,,,X,,,,,,,,,,,L3,,,,,,,,Anglais,,X,X,X,,,,,,,,,,,,,,,,,,,,,,V,Bon thriller d'horreur. Ça devient plus intense dans la dernière moitié du film. Je donne un 6.0,,,,,,,,,,
L'Amour Malgré Tout,Stuck in Love,2012,Picture 2668,B,B,,,,,,X,,,X,,,,,,,X,,,,,,,7.3,77099,97,Josh Boone ,"Greg Kinnear, Jennifer Connelly, Lily Collins",O:\L'Amour Malgré Tout\Stuck in Love.mkv,O:\L'Amour Malgré Tout\Stuck in Love.mkv,O,,,,,,,6540,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sur la Piste du Marsupilami,Sur la Piste du Marsupilami,2012,Picture 25891,X,X,,,X,,,X,,,,,,,,,,,,,,,,,5.5,2572,105,Alain Chabat ,"Jamel Debbouze,  Alain Chabat,  Fred Testot  ",X:\Sur la Piste du Marsupilami\Sur la piste du Marsupilami.mkv,X:\Sur la Piste du Marsupilami\Sur la piste du Marsupilami.mkv,O,,,,,,,6591,,,,,,,,,,,,,,,,X,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sushi Girl,Sushi Girl,2012,Picture 5228,D,,,,,,,,X,,X,,,,,,X,,,,,,X,,6.0,4857,98,​Kern Saxton,"​Neal Fischer, ​Cortney Palm, ​Tony Todd",N:\Sushi Girl\Sushi.Girl.mkv,,N,,,,,,,9645,,,,,,,,,,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Tai Chi Hero,Tai Chi Hero,2012,Picture 2981,B,B,,,X,,,,,,X,X,,,,,,,,,,,,,6.2,3083,100,Stephen Fung ,"Daniel Wu, Qi Shu, Tony Ka Fai Leung ",Q:\Tai Chi Hero\Tai.Chi.Hero.mkv,Q:\Tai Chi Hero\Tai.Chi.Hero.mkv,O,,,,,,,6635,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Chinois,,,X,,X,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,
L'Enlèvement 2,Taken 2,2012,Picture 22517,M,M,X,,,,,,X,,,,,,,,,,,,,,X,,6.3,153 259,92,Olivier Megaton ,"Liam Neeson, Famke Janssen, Maggie Grace ",M:\L'Enlèvement 2\VIDEO_TS\VIDEO_TS.IFO,M:\L'Enlèvement 2\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,6644,,,,,X,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,,,,,,,,,,,,,V,Très bon film d'action. Une tentative de revanche de la famille des méchants du premier Taken. Devinez qui remportera la bataille?,,,,"Le premier est le meilleur, mais les deux autres sont aussi très bons.",,,,,,
12 Ans Sans ma Fille,Taken Back - Finding Haley,2012,Picture 3311,B,,,,,,,,,,X,,,,,,X,,,,,,X,,6.5,679,85,Mark Jean,"Moira Kelly, Amanda Tapping, Kacey Rohl",S:\12 Ans Sans ma Fille\12 ans sans ma fille.mkv,,O,,,,,,,6646,,,,,,,,,,,,,,,,,Sel,,,,,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted,Ted,2012,Picture 22525,O,O,,,,,,X,,,,X,,,,,,,,,,,,,7.1,337 355,106,Seth MacFarlane ,"Mark Wahlberg, Mila Kunis, Seth MacFarlane ",O:\Ted\Ted.mkv,O:\Ted\Ted.mkv,O,,,,,,,6687,,,,,,,X,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Part des Anges,The Angels' Share,2012,Picture 24565,T,T,,,,,,X,X,,X,,,,,,,,,,,,,,7.0,16407,101,Ken Loach ,"Paul Brannigan, John Henshaw, Roger Allam ",T:\La Part des Anges\The.Angels.Share.mkv,T:\La Part des Anges\The.Angels.Share.mkv,O,,,,,,,6791,,,,,,,,,,,,X,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Attentat,The Attack,2012,Picture 25859,X,X,,,,,,,,,X,,,,,,,,,,,,,,7.1,2948,102,Ziad Doueiri ,"Ali Suliman,  Reymonde Amsallem,  Evgenia Dodena",X:\L'Attentat\L attentat.mkv,X:\The Attack\the attack.mkv,O,double,,,,,,6819,,,,,,,,,,,,,,,,X,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Forêt,The Barrens,2012,Picture 21889,K,K,,,,,,,X,,X,X,,,,,,,,,,,X,,4.7,2686,94,Darren Lynn Bousman,"Stephen Moyer, Mia Kirshner, Allie MacDonald ",K:\La Forêt\The.Forest.mkv,K:\La Forêt\The.Forest.mkv,O,,,,,,,6842,,,X,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Baie,The Bay,2012,Picture 21883,B,B,,,,,,,,,X,,,,X,,,,,,,,,,5.6,14636,84,Barry Levinson ,"Will Rogers, Kristen Connolly, Kether Donohue ",S:\La Baie\The.Bay.mkv,S:\La Baie\The.Bay.mkv,O,,,,,,,6849,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Hors-la-Loi de Baytown,The Baytown Outlaws,2012,Picture 24692,U,U,X,,,,,X,X,,,,,,,,,,,,,,,,6.3,10139,98,Barry Battles ,"Billy Bob Thornton, Eva Longoria, Thomas Brodie-Sangster ",U:\Les Hors-la-Loi de Baytown\The.Baytown.Outlaws.mkv,U:\Les Hors-la-Loi de Baytown\The.Baytown.Outlaws.mkv,O,,,,,,,6850,,,,,,,,,,,,,X,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Corps,The Body,2012,Picture 3636,C,C,,,,,,,,,,,,,,,X,,,,,,X,,7.6,48421,108,Oriol Paulo ,"Jose Coronado, Hugo Silva, Belén Rueda",U:\Le Corps\El.Cuerpo.mkv,U:\Le Corps\El.Cuerpo.mkv,O,,,,,,,6918,,,,,,,,,,,,,,,,,Sel,,X,,,,,,Espagnol,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"Bon suspense, mais pas un 7.6, je donnerais plutôt 6.5.",,,,,,
"Moi, Député",The Campaign,2012,Picture 25569,W,W,,,,,,X,,,,,,,,,,,,,,,,,6.2,104871,85,Jay Roach ,"Will Ferrell,  Zach Galifianakis,  Jason Sudeikis ","W:\Moi, Député\The Campaign.mkv","W:\Moi, Député\The Campaign.mkv",O,,,,,,,6986,,,,,,,,,,,,,,,X,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,X,,,,,,,,,,,,,,V,Une belle découverte. Très bonne comédie. Ça faisait longtemps qu'un film ne m'avait pas fait autant rire. Une bonne satire de la politique américaine.,,,,,,,,,,
Le Collectionneur Sadique 2,The Collector 2 - The Collection,2012,Picture 22601,N,N,,,,,,,X,,,,,,X,,,,,,,,X,,6.1,27667,82,Marcus Dunstan ,"Josh Stewart, Emma Fitzpatrick, Christopher McDonald ",N:\La Collection Sadique\VIDEO_TS\VIDEO_TS.IFO,N:\La Collection Sadique\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,7045,,,,,,X,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,,X,,,,,,,,,,,V,De l'action dès les débuts du film. Suite du film précédent. Dans le genre horreur sanglant c'est à classer parmi mes meilleurs. Je donne une note de 7.5,,,,Excellent suite.,X,,,,,
Sous Surveillance,The Company You Keep,2012,Picture 24890,U,U,,,,,,,,,X,,,,,,,,,,,,X,,6.4,24665,125,Robert Redford ,"Robert Redford, Brit Marling, Stanley Tucci ",U:\Sous Surveillance\The.Company.You.Keep.mkv,U:\Sous Surveillance\The.Company.You.Keep.mkv,O,,,,,,,7058,,,,,,,,,,,,,X,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Croisades,The Crusades,2012,Picture 4227,D,,,,,,,,,X,,,,X,,,,,,,,,,,7.1,107,48,"James Gray, Sarah Jobling, Chris Wilson ","Tom Asbridge, Taef Al Azhari, Reuven Amitai",,,O,,,,,2012,P,7099,,,,,,,,,,,,,,,,,Sel,,,X,,,,,,,,X,,X,10424,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Survivre,The Deep,2012,Picture 25850,X,X,X,,,,,,,,X,,,,,,,,,,,,,,6.7,3492,95,Baltasar Kormákur ,"Ólafur Darri Ólafsson,  Stefán Hallur Stefánsson,  Joi Johannsson  ",X:\Survivre\VIDEO_TS\VIDEO_TS.IFO,X:\Survivre\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,7146,,,,,,,,,,,,,,,,X,Sel,,X,,,,,,Islandais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Diable en Moi,The Devil Inside,2012,Picture 22637,M,M,,,,,,,,,,,,,X,,,,,,,,,,4.1,26 378,83,William Brent Bell ,"Fernanda Andrade, Simon Quarterman, Evan Helmuth ",M:\Le Diable en Moi\VIDEO_TS\VIDEO_TS.IFO,M:\Le Diable en Moi\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,7159,,,,,X,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Dictateur,The Dictator,2012,Picture 22642,L,L,,,,,,X,,,,,,,,,,,,,,,,,6.4,163825,83,Larry Charles ,"Sacha Baron Cohen, Anna Faris, John C. Reilly ",L:\Le Dictateur\VIDEO_TS\VIDEO_TS.IFO,L:\Le Dictateur\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,7177,,,,X,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,"Une comédie à la Sacha Baron, à la fois savoureuse et vulgaire.",,,,,,,,,,
Les Sacrifiés 2,The Expendables 2,2012,Picture 22657,M,M,X,,X,,,,,,,,,,,,,,,,,,,,6.8,186765,103,Simon West ,"Sylvester Stallone, Liam Hemsworth, Randy Couture ",M:\Les Sacrifiés 2\VIDEO_TS\VIDEO_TS.IFO,M:\Les Sacrifiés 2\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,7251,,,,,X,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,,,,,,,,,,,,,J,"Les bons 1 mort, les méchants pas loin de 200 morts. De grosses et invraisemblables scènes d'action, j'adore.",,,,"J'aime ton expression Jules ; La ligue du vieux poêle des gros bras américains. Rigolo et action, très bon.",,,,,,
Le Quatrième Pouvoir,The Fourth State,2012,Picture 1636,Z,Z,,,,,,,,,,,,,,,,,,,,,X,,6.1,2047,115,Dennis Gansel ,"Moritz Bleibtreu,  Kasia Smutniak,  Max Riemelt",Z:\Le Quatrième Pouvoir\the fourth state.mkv,Z:\Le Quatrième Pouvoir\the fourth state.mkv,O,,,,,,,7326,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Hobbit 1 - Un Voyage Inattendu,The Hobbit 1 - An Unexpected Journey,2012,Picture 22720,M,M,X,,X,,,,,,,X,,,,,,,,,,,,,8.1,457 127,169,Peter Jackson ,"Martin Freeman, Ian McKellen, Richard Armitage",,,O,,,X,,,,7490,,,,,X,,,,X,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,X,,,,,,,,,,,,,,,J,Une saga aussi bonne que celle du Seigneur des Anneaux,,,,"Très très bon Le Hobbit, excellent prédécesseur du Seigneur des Anneaux. Le livre est tout petit, ils ont beaucoup enrichit l'histoire pour le cinéma.",,,,,,
Le Hobbit 1 - Un Voyage Inattendu - Le Film,The Hobbit 1 - An Unexpected Journey - The Movie,2012,,M,M,X,,X,,,,,,,X,,,,,,,,,,,,,8.1,,,,,M:\Le Hobbit 1 - Un Voyage Inattendu\VIDEO_TS\VIDEO_TS.IFO,M:\Le Hobbit 1 - Un Voyage Inattendu\VIDEO_TS\VIDEO_TS.IFO,N,,,X,,,,,,,,,X,,,,X,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,X,,,,,,,,,,,,,,,J,,,,,,,,,,,
Le Hobbit 1 - Un Voyage Inattendu - Le Film 3D,The Hobbit 1 - An Unexpected Journey - The Movie 3D,2012,,Q,Q,X,,X,,,,,,,X,,,,,,,,,,,,,8.1,457127,169,,,Q:\Le Hobbit 1 - Un Voyage Inattendu (3D)\The.Hobbit.An.Unexpected.Journey.3D.mkv,Q:\Le Hobbit 1 - Un Voyage Inattendu (3D)\The.Hobbit.An.Unexpected.Journey.3D.mkv,N,,,X,,,,,,,,,X,,,,X,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,X,,,,,,,,,,,,,,,J,,,,,,,,,,,
Hunger Games,The Hunger Games,2012,Picture 744,K,K,X,,X,,,,,,,,,,,,,,X,,,,X,,7.3,498 228,142,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth ",K:\Hunger Games\VIDEO_TS\VIDEO_TS.IFO,K:\Hunger Games\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,7527,,,X,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,"J'ai beaucoup aimé toute la série, et Jennifer Lawrence est tellement jolie.",,,,,,
La Chasse,The Hunt,2012,Picture 23435,P,,,,,,,,,,X,,,,,,,,,,,,,,8.3,102998,115,Thomas Vinterberg ,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",P:\La Chasse\The.Hunt.mkv,,O,,,,,,,7531,,,,,,,,X,,,,,,,,,Sel,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,Sujet très délicat... d'autant plus qu'on ne sait pas s'il est coupable ou non. 7.0. Pas à revoir.,,,,,,
The Iceman,The Iceman,2012,Picture 23691,Q,Q,,,,X,,,X,,X,,,,,,,,,,,,,,6.9,46008,106,Ariel Vromen ,"Michael Shannon, Chris Evans, James Franco ",Q:\The Iceman\The.Iceman.mkv,Q:\The Iceman\The.Iceman.mkv,O,,,,,,,7549,,,,,,,,,X,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,X,,,,,,,,,,,J,Ce que le film ne montre pas c'est qu'il aimait voir ses victimes dévorées vivantes par des rats.,,,,,,,,,,
L'Impossible,The Impossible,2012,Picture 23969,R,R,,,,,,,,,X,,,X,,,,,,,,,,,7.6,126678,114,J.A. Bayona ,"Naomi Watts, Ewan McGregor, Tom Holland ",R:\L'Impossible\The.Impossible.mkv,R:\L'Impossible\The.Impossible.mkv,O,,,,,,,7555,,,,,,,,,,X,,,,,,,L3,,,,,,,X,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,"Excellente reconstitution du tsunami de 2004. Un drame émouvant magnifiquement interprété. La plus grande partie de ce film est vrai, seul quelques éléments mineurs on été modifiés, comme le fait que les personnages principaux étaient en réalité espagnols.",,,,Excellent film sur le  Tsunami de 2004. Belle histoire.,,,,,,
The Land of Hope,The Land of Hope,2012,Picture 1669,Z,Z,,,,,,,,,X,,,,,,,,X,,,,,,6.6,852,133,Sion Sono ,"Isao Natsuyagi,  Naoko Ohtani,  Jun Murakami ",Z:\The Land of Hope\The land of hope.mkv,Z:\The Land of Hope\The land of hope.mkv,O,,,,,,,7657,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Japonais,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Le Lorax,The Lorax,2012,Picture 24790,U,U,,X,,,,X,,,,X,,,,,,,,,,,,,6.5,73139,86,"Chris Renaud, Kyle Balda ","Zac Efron, Taylor Swift, Danny DeVito ",U:\Le Lorax\Le.Lorax.mkv,U:\The Lorax\The.Lorax.mkv,O,double,,,,,,7775,,,,,,,,,,,,,X,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Seigneurs de Salem,The Lords of Salem,2012,Picture 24754,U,U,,,,,,,,,,,,,X,,,,,,,,X,,5.1,18423,101,Rob Zombie ,"Sheri Moon Zombie, Meg Foster, Bruce Davison",U:\Les Seigneurs de Salem\The Lords Of Salem.mkv,U:\Les Seigneurs de Salem\The Lords Of Salem.mkv,O,,,,,,,7779,,,,,,,,,,,,,X,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Le Porte-Bonheur,The Lucky One,2012,Picture 3952,C,C,,,,,,,,,X,,X,,,,X,X,,,,,,,6.5,99305,101,Scott Hicks ,"Zac Efron, Taylor Schilling, Blythe Danner ",W:\Le Porte-Bonheur\The Lucky One.mkv,W:\Le Porte-Bonheur\The Lucky One.mkv,O,,,,,,,7795,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Un Été Magique,The Magic of Belle Isle,2012,Picture 4282,D,D,,,,,,X,,,X,,,,,,,,,,,,,,7.0,17393,109,Rob Reiner ,"Morgan Freeman, Virginia Madsen, Madeline Carroll ",N:\Un Été Magique\The.Magic.Of.Belle.Isle.mkv,N:\Un Été Magique\The.Magic.Of.Belle.Isle.mkv,O,,,,,,,7802,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
L'Homme aux Poings de Fer,The Man with the Iron Fists,2012,Picture 22798,M,M,X,,X,,,,,,,,,,,,,,,,,,,,5.4,44 619,95,RZA ,"Russell Crowe, Cung Le, Lucy Liu",M:\L'Homme aux Poings de Fer\VIDEO_TS\VIDEO_TS.IFO,M:\L'Homme aux Poings de Fer\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,7827,,,,,X,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pas un gros scénario, mais plein d'action sanglante.",,,,,,
Le Maître,The Master,2012,Picture 24458,T,T,,,,,,,,,X,,,,,,,,,,,,,,7.1,92312,144,Paul Thomas Anderson ,"Philip Seymour Hoffman, Joaquin Phoenix, Amy Adams ",T:\Le Maître\The.Master.mkv,T:\Le Maître\The.Master.mkv,O,,,,,,,7851,,,,,,,,,,,,X,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salle des Nouvelles,The Newsroom,2012,Picture 5516,E,E,,,,,,,,,X,,,,,,,,,X,,,,,8.6,113646,55,​Aaron Sorkin,"​Jeff Daniels, ​Emily Mortimer, ​John Gallagher Jr.",,,N,,,,,,C,9932,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,10428,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
La Drôle de Vie de Timothy Green,The Odd Life of Timothy Green,2012,Picture 25133,V,V,,,,,,X,,,X,X,,,,,,,,,,,,,6.6,35788,105,Peter Hedges ,"Jennifer Garner, Joel Edgerton, CJ Adams ",V:\La Drôle de Vie de Timothy Green\La.Drole.de.vie.de.Timothy.Green.mkv,V:\La Drôle de Vie de Timothy Green\La.Drole.de.vie.de.Timothy.Green.mkv,O,,,,,,,7979,,,,,,,,,,,,,,X,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Pacte,The Pact,2012,Picture 22845,O,O,,,,,,,X,,X,,,,X,,X,,,,,,X,,5.8,13 294,89,Nicholas McCarthy ,"Caity Lotz, Casper Van Dien, Mark Steger ",O:\Le Pacte\VIDEO_TS\VIDEO_TS.IFO,O:\The Pact\VIDEO_TS\VIDEO_TS.IFO,O,double,,,,,,8020,,,,,,,X,,,,,,,,,,L2,,,,,,,,Anglais,,,X,X,,,,,,,,,,,X,,,,,,,,,,,J,Davantage crime que horreur. Thriller dans les 20 dernières minutes. Film moyen.,,,,,,,,,,
Paperboy,The Paperboy,2012,Picture 24633,T,T,,,,,,,,,X,,,,,,,,,,,,X,,5.8,26675,107,Lee Daniels ,"Matthew McConaughey, Nicole Kidman, John Cusack",T:\Paperboy\The.Paperboy.mkv,T:\Paperboy\The.Paperboy.mkv,O,,,,,,,8028,,,,,,,,,,,,X,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Emprise du Mal,The Path,2012,Picture 2185,A,,,,,,,,,,,,,,X,,,,,,,,X,,5.0,417,90,Miguel Ángel Toledo,"Ariel Castro,  Raquel Escribano,  Javier Montó",A:\L'Emprise du Mal\the.path.mkv,,O,,,,,,,8036,,,,,,,,,,,,,,,,,Sel,,X,,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Monde de Charlie,The Perks of Being a Wallflower,2012,Picture 23451,P,P,,,,,,,,,X,,,,,,,X,,,,,,,8.1,253906,102,Stephen Chbosky ,"Logan Lerman, Emma Watson, Ezra Miller",P:\Le Monde de Charlie\The.Perks.of.Being.a.Wallflower.mkv,P:\Le Monde de Charlie\The.Perks.of.Being.a.Wallflower.mkv,O,,,,,,,8052,,,,,,,,X,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
